priority,asset_ref,source_state,planned_instances,sites,bom_ids,classes,action,required_checks
P1_remaining_sites,map-owned://MOD_FENCE_02,map_owned_definition,22,SS_014;SS_020,OT_ARCH_004,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P1_remaining_sites,map-owned://MOD_GATE_01,map_owned_definition,8,SS_001;SS_009;SS_019,OT_ARCH_004,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P1_remaining_sites,map-owned://MOD_GATE_02,map_owned_definition,20,SS_014;SS_020,OT_ARCH_004,architecture,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P1_remaining_sites,map-owned://MOD_UTIL_01,map_owned_definition,28,SS_003;SS_013;SS_015,OT_UTIL_004,utility,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P1_remaining_sites,map-owned://OT_DESERT_DEBRIS_CARD_01,map_owned_definition,23,SS_013;SS_015,OT_GROUND_004,ground,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P1_remaining_sites,map-owned://OT_DESERT_DEBRIS_CARD_03,map_owned_definition,25,SS_013;SS_015,OT_GROUND_004,ground,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P1_remaining_sites,map-owned://OT_SPAWN_MARKING_01,map_owned_definition,18,SS_001;SS_009;SS_015;SS_019,OT_DECAL_005,decal,Resolve or assemble from existing map-owned modules/primitives,Dimensions; gameplay clearance; collision authority; naming
P1_remaining_sites,/Game/CitySampleVehicles/vehicle01_Van/Mesh/SM_vehVan_vehicle01_LOD,staged_pack_asset,1,SS_015,OT_TAC_003,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/CitySampleVehicles/vehicle09_Van/Mesh/SM_vehVan_vehicle09_LOD,staged_pack_asset,2,SS_014,OT_TAC_003,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/CitySampleVehicles/vehicle13_Car/Mesh/SM_vehCar_vehicle13_LOD,staged_pack_asset,2,SS_014;SS_015,OT_TAC_003,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/MilitaryTrench/Assets/3D/Ind_Mine_Tool_Shovel_Old_01/StaticMeshes/SM_Ind_Mine_Tool_Shovel_Old_01,staged_pack_asset,9,SS_014,OT_SCRAP_004,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Equipment_Sandbag_Canvas_Stack_01/StaticMeshes/SM_Mil_Trench_Equipment_Sandbag_Canvas_Stack_01,staged_pack_asset,3,SS_020,OT_TAC_004,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Equipment_Sandbag_Canvas_Stack_02/StaticMeshes/SM_Mil_Trench_Equipment_Sandbag_Canvas_Stack_02,staged_pack_asset,5,SS_019;SS_020,OT_TAC_004,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/MilitaryTrench/Assets/3D/Mil_Trench_Equipment_Sandbag_Canvas_Stack_03/StaticMeshes/SM_Mil_Trench_Equipment_Sandbag_Canvas_Stack_03,staged_pack_asset,4,SS_020,OT_TAC_004,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/MilitaryTrench/Assets/3D/Plants/Des_West_Grass_Wild_01/StaticMeshes/SM_Des_West_Grass_Wild_01_B,staged_pack_asset,24,SS_018;SS_020,OT_VEG_003,vegetation,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Aba_Storage_Barrel_Metal_Blue_01/SM_Ind_Aba_Storage_Barrel_Metal_Blue_01,staged_pack_asset,11,SS_014,OT_SCRAP_003,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Aba_Storage_Barrel_Metal_Buckled_01/SM_Ind_Aba_Storage_Barrel_Metal_Buckled_01,staged_pack_asset,3,SS_003;SS_011,OT_SCRAP_003,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Aba_Storage_Barrel_Metal_Green_01/SM_Ind_Aba_Storage_Barrel_Metal_Green_01,staged_pack_asset,5,SS_014,OT_SCRAP_003,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Aba_Tank_Gas_Metal_Worn_02/SM_Ind_Aban_Tank_Gas_Metal_Worn_02,staged_pack_asset,3,SS_014,OT_TAC_006,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Fac_Tank_Gas_Metal_Worn_01/SM_Ind_Fac_Tank_Gas_Metal_Worn_01,staged_pack_asset,6,SS_014,OT_TAC_006,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Exhaust_Car_Metal_Rusty_05/SM_Ind_Jun_Exhaust_Car_Metal_Rusty_05,staged_pack_asset,9,SS_013,OT_SCRAP_001,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Exhaust_Metal_Rusty_02/SM_Ind_Jun_Exhaust_Metal_Rusty_02,staged_pack_asset,10,SS_013,OT_SCRAP_001,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Exhaust_Metal_Rusty_06/SM_Ind_Jun_Exhaust_Metal_Rusty_06,staged_pack_asset,10,SS_016;SS_018,OT_SCRAP_006,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Fan_Metal_Rusty_01/SM_Ind_Jun_Fan_Metal_Rusty_01,staged_pack_asset,1,SS_014,OT_SCRAP_001,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Scrap_Cover_Metal_Weathered_01/SM_Ind_Jun_Scrap_Cover_Metal_Weathered_01,staged_pack_asset,6,SS_014,OT_TAC_006,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Storage_Crate_Metal_Rusty_01/SM_Ind_Jun_Storage_Crate_Metal_Rusty_01,staged_pack_asset,9,SS_015,OT_SCRAP_005,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Storage_Pallet_Wood_Trap_01/SM_Ind_Jun_Storage_Pallet_Wood_Trap_01,staged_pack_asset,10,SS_015,OT_SCRAP_005,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Support_Stand_Metal_Rusty_01/SM_Ind_Jun_Support_Stand_Metal_Rusty_01,staged_pack_asset,9,SS_014,OT_SCRAP_004,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Tank_Metal_Rusty_01/SM_Ind_Jun_Tank_Metal_Rusty_01,staged_pack_asset,12,SS_006;SS_014;SS_016;SS_018,OT_TAC_006;OT_UTIL_008,tactical;utility,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Jun_Wheel_Hub_Metal_Rusty_01/SM_Ind_Jun_Wheel_Hub_Metal_Rusty_01,staged_pack_asset,1,SS_014,OT_SCRAP_001,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Ind_Sto_PaintCan_Metal_Worn_03/SM_Ind_Sto_PaintCan_Metal_Worn_03,staged_pack_asset,10,SS_016;SS_018,OT_SCRAP_006,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Res_Jun_Wheel_Metal_Weathered_01/SM_Res_Jun_Wheel_Metal_Weathered_01,staged_pack_asset,40,SS_014,OT_SCRAP_002,industrial,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
P1_remaining_sites,/Game/Scene_Junkyard/Assets/MS/3D/Urb_Str_Bin_Trash_Metal_Worn_01/SM_Urb_Str_Bin_Trash_Metal_Worn_01_A,staged_pack_asset,5,SS_014,OT_TAC_006,tactical,Migrate selected asset and dependency closure from clean UE 5.8 staging copy,Rendered appearance; bounds; pivot; material slots; dependencies; collision; Nanite; scale
